sample_id,target_class,class_label,image_path,rssi_dbm,snr_db,carrier_freq_ghz,bandwidth_mhz,doppler_shift_khz,phase_variance_rad,path_loss_db,spectral_kurtosis,papr_db,edge_density,aspect_ratio,spatial_entropy,color_moment_r_mean,color_moment_g_mean,color_moment_b_mean,color_moment_r_std,color_moment_g_std,color_moment_b_std,texture_contrast,texture_homogeneity,texture_energy
80,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0080_uav_drone.png,-63.46,18.43,5.851,20.0,5.019,0.3436,84.54,7.469,7.22,0.6819,1.189,5.768,166.79,159.06,196.42,40.88,50.91,55.12,0.979,0.5264,0.3695
81,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0081_uav_drone.png,-60.93,15.09,2.375,40.0,3.589,0.5646,84.1,4.866,6.15,0.6668,1.177,5.764,126.4,167.52,204.89,45.27,39.96,44.61,0.6789,0.427,0.2282
82,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0082_uav_drone.png,-57.8,21.53,5.832,40.0,5.416,0.4523,81.85,4.206,8.89,0.5857,1.163,5.614,163.02,179.25,186.12,45.52,42.15,53.23,0.5854,0.4901,0.4663
83,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0083_uav_drone.png,-67.5,13.79,2.39,40.0,6.533,0.4779,86.0,3.867,9.5,0.7018,1.098,5.413,162.25,149.43,155.85,42.84,51.6,49.52,0.7137,0.465,0.2934
84,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0084_uav_drone.png,-63.22,18.19,5.811,40.0,5.862,0.3452,88.52,4.61,9.47,0.7094,1.241,5.711,154.76,174.71,185.45,46.8,35.3,41.68,0.6132,0.556,0.4526
85,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0085_uav_drone.png,-62.57,15.82,2.389,20.0,2.769,0.3613,82.22,5.582,9.9,0.7012,1.097,6.061,200.31,147.85,179.68,50.84,42.89,53.31,0.743,0.6484,0.2832
86,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0086_uav_drone.png,-55.28,23.5,2.428,40.0,6.131,0.4003,76.94,7.588,8.29,0.6899,1.086,5.817,185.43,165.66,192.92,37.55,37.08,44.33,0.7163,0.4457,0.3085
87,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0087_uav_drone.png,-69.73,16.17,2.374,20.0,1.642,0.4036,82.04,6.393,7.81,0.7184,1.348,5.951,157.29,163.31,187.09,36.68,46.61,48.62,0.5038,0.4785,0.4146
88,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0088_uav_drone.png,-64.2,13.89,2.43,40.0,3.949,0.4414,85.05,3.461,9.57,0.6414,1.038,6.445,173.45,170.97,176.63,29.09,40.69,46.73,0.6213,0.4695,0.3546
89,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0089_uav_drone.png,-63.24,13.9,2.436,40.0,3.522,0.5141,71.6,5.427,9.41,0.7105,1.096,5.823,148.83,149.54,180.32,58.07,42.09,36.24,0.7933,0.5484,0.4272
90,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0090_uav_drone.png,-59.41,19.88,5.785,20.0,4.598,0.5,77.98,6.732,8.2,0.7031,1.051,5.746,172.16,186.9,163.77,49.83,35.03,54.2,0.8327,0.3927,0.3254
91,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0091_uav_drone.png,-68.08,15.64,5.805,40.0,2.261,0.307,89.28,5.034,7.64,0.7688,0.878,5.148,179.09,203.37,183.07,41.72,38.12,48.03,0.6724,0.4718,0.3746
92,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0092_uav_drone.png,-68.04,15.05,5.783,20.0,4.268,0.4649,80.23,5.967,8.1,0.7738,1.064,5.757,166.72,151.44,173.1,34.84,45.86,58.4,0.9431,0.531,0.3801
93,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0093_uav_drone.png,-71.91,14.33,5.783,20.0,5.468,0.3191,76.81,5.267,9.09,0.7569,0.801,5.731,143.38,171.92,225.01,43.75,50.4,59.76,0.8327,0.4442,0.2735
94,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0094_uav_drone.png,-62.17,14.23,5.833,40.0,6.674,0.5069,82.59,5.539,8.03,0.7015,0.979,6.049,154.46,180.66,189.56,48.76,44.69,37.36,0.8462,0.4075,0.3108
95,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0095_uav_drone.png,-65.28,22.0,2.396,20.0,5.609,0.5155,79.98,5.656,10.29,0.7733,0.995,5.746,175.05,210.0,192.88,53.74,43.55,53.71,0.8301,0.4472,0.3052
96,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0096_uav_drone.png,-55.7,14.37,5.804,40.0,6.871,0.4963,85.08,5.998,9.12,0.6287,1.072,6.12,171.31,192.83,200.62,44.11,51.42,47.84,0.6318,0.467,0.3053
97,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0097_uav_drone.png,-65.71,15.92,2.442,20.0,5.742,0.4224,85.65,4.69,8.24,0.7964,1.02,5.728,161.24,172.58,179.36,36.01,40.42,53.24,0.657,0.4676,0.392
98,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0098_uav_drone.png,-63.53,19.03,2.403,40.0,6.243,0.4248,83.66,6.697,6.93,0.4384,1.042,6.52,178.58,178.14,182.63,46.84,39.16,50.86,0.7705,0.5648,0.5156
99,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0099_uav_drone.png,-59.84,14.46,5.778,40.0,4.411,0.4468,76.32,4.511,8.52,0.7564,0.896,5.457,176.88,170.91,178.34,46.37,42.07,54.16,0.6536,0.4672,0.4067
100,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0100_uav_drone.png,-63.24,19.52,5.785,20.0,5.21,0.2249,81.19,6.765,9.61,0.7572,1.168,5.835,162.96,165.74,185.26,45.69,52.22,47.16,0.675,0.48,0.3861
101,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0101_ground_vehicle.png,-62.66,12.27,1.813,10.0,1.452,0.3541,72.24,3.483,7.23,0.5541,2.313,5.104,139.38,151.65,149.23,31.29,33.91,38.37,0.6929,0.6253,0.3516
102,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0102_ground_vehicle.png,-44.71,18.11,1.792,10.0,1.262,0.2474,73.1,3.833,5.9,0.6319,1.737,5.12,123.07,109.25,127.71,47.06,39.92,31.9,0.5963,0.5516,0.4474
103,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0103_ground_vehicle.png,-61.08,25.23,2.096,20.0,1.066,0.3204,77.25,3.517,6.28,0.5871,2.191,4.766,117.39,141.98,130.61,35.87,37.22,30.88,0.7541,0.4379,0.3786
104,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0104_ground_vehicle.png,-54.62,14.76,2.102,20.0,1.023,0.3122,74.28,3.635,6.21,0.5337,1.718,5.319,123.07,144.72,146.96,36.63,34.15,25.51,0.762,0.4681,0.4624
105,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0105_ground_vehicle.png,-50.17,20.1,1.81,10.0,1.17,0.3469,80.13,3.796,7.5,0.4618,1.692,4.955,150.03,147.86,132.22,36.41,43.84,31.15,0.5017,0.6261,0.4291
106,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0106_ground_vehicle.png,-48.28,20.83,0.876,20.0,1.439,0.1841,76.54,5.419,5.57,0.5933,1.704,5.349,135.23,132.3,135.85,44.02,35.05,35.6,0.5036,0.483,0.4436
107,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0107_ground_vehicle.png,-45.1,22.35,1.811,20.0,1.34,0.3171,72.86,4.303,5.66,0.5313,1.611,5.364,143.57,138.15,119.52,34.9,33.57,28.02,0.6505,0.4969,0.3417
108,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0108_ground_vehicle.png,-62.06,14.91,0.883,10.0,1.031,0.2389,78.35,2.224,7.6,0.4952,2.011,5.205,123.55,135.12,138.24,35.53,38.92,41.88,0.4792,0.6632,0.4252
109,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0109_ground_vehicle.png,-59.39,15.94,2.114,10.0,0.986,0.2583,54.91,4.127,5.61,0.5414,1.624,5.072,140.33,140.13,138.52,41.33,34.16,29.61,0.7062,0.6226,0.457
110,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0110_ground_vehicle.png,-59.71,22.61,0.894,20.0,1.18,0.2497,73.55,4.078,6.36,0.5327,1.858,4.819,121.97,148.15,116.21,38.33,38.31,23.37,0.559,0.6336,0.3709
111,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0111_ground_vehicle.png,-56.79,22.76,1.786,20.0,1.014,0.3676,64.54,3.321,7.01,0.7062,1.934,5.368,128.17,146.82,131.26,27.06,39.96,36.85,0.6923,0.5523,0.3722
112,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0112_ground_vehicle.png,-67.86,21.6,0.888,10.0,1.128,0.2608,83.87,3.984,7.25,0.6266,1.943,5.494,127.59,133.3,116.8,37.2,39.89,34.29,0.7707,0.5496,0.4534
113,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0113_ground_vehicle.png,-60.55,19.53,1.803,10.0,1.071,0.2764,76.5,4.419,5.9,0.5935,2.14,5.837,135.48,137.14,133.23,36.22,42.93,27.02,0.5948,0.4718,0.3694
114,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0114_ground_vehicle.png,-51.74,24.08,0.898,10.0,1.012,0.3527,75.44,3.505,6.93,0.4557,1.94,4.84,118.77,121.73,143.35,31.85,43.67,29.32,0.4663,0.4718,0.4818
115,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0115_ground_vehicle.png,-54.94,18.92,0.914,10.0,1.659,0.2958,72.02,4.179,8.0,0.5781,1.791,5.336,135.46,123.95,132.87,28.27,37.87,28.01,0.6233,0.5773,0.5427
116,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0116_ground_vehicle.png,-49.54,26.19,1.792,10.0,1.374,0.275,75.02,3.958,6.07,0.6849,2.125,5.616,147.16,121.1,141.11,38.28,28.32,30.93,0.6449,0.6665,0.4562
117,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0117_ground_vehicle.png,-59.19,27.44,0.906,10.0,1.135,0.3143,73.66,4.699,6.5,0.6195,1.626,5.192,132.91,142.7,125.57,34.34,40.13,29.82,0.4754,0.6725,0.4891
118,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0118_ground_vehicle.png,-61.75,23.62,0.904,10.0,1.427,0.2756,72.67,3.603,7.43,0.4815,1.768,5.758,154.61,122.26,116.42,33.65,40.46,22.86,0.6151,0.5168,0.4863
119,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0119_ground_vehicle.png,-64.06,21.35,2.092,20.0,1.215,0.1974,72.13,3.323,7.77,0.5506,2.15,5.316,145.73,139.97,145.26,29.23,36.57,30.02,0.7457,0.6549,0.42
120,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0120_ground_vehicle.png,-61.75,22.62,1.793,20.0,1.202,0.3387,68.46,3.777,6.66,0.6841,1.869,5.483,141.56,156.31,127.13,44.35,26.07,36.29,0.542,0.5155,0.4485
121,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0121_ground_vehicle.png,-50.63,23.3,1.801,10.0,0.312,0.2357,67.99,3.42,7.73,0.6813,1.873,5.087,144.64,111.63,117.34,23.39,30.67,28.16,0.753,0.3567,0.3992
122,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0122_ground_vehicle.png,-50.28,22.56,0.901,20.0,1.898,0.1563,77.03,5.058,6.28,0.6583,2.253,5.111,130.95,129.22,123.88,30.92,31.5,37.99,0.5489,0.5681,0.4219
123,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0123_ground_vehicle.png,-45.01,19.09,0.919,10.0,1.356,0.2346,77.56,4.224,5.04,0.5549,1.862,5.247,138.62,149.09,129.91,36.77,35.78,26.91,0.6229,0.6024,0.4754
124,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0124_ground_vehicle.png,-50.78,26.07,2.1,10.0,0.894,0.2642,76.0,4.308,7.12,0.6441,2.086,5.121,154.51,136.8,134.04,33.06,32.63,37.22,0.901,0.5247,0.4808
125,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0125_ground_vehicle.png,-55.96,20.96,1.812,10.0,1.017,0.2262,70.3,3.779,6.27,0.62,1.685,5.254,149.16,139.56,134.27,36.46,36.04,31.66,0.5686,0.5606,0.4058
126,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0126_ground_vehicle.png,-44.72,24.08,2.095,10.0,1.148,0.3191,67.74,3.639,6.79,0.6219,1.997,4.943,135.98,145.49,147.47,38.52,39.95,32.42,0.7469,0.5787,0.3769
127,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0127_ground_vehicle.png,-45.58,23.65,2.088,20.0,1.723,0.3014,75.2,4.233,8.1,0.6349,1.918,5.853,148.32,138.89,115.39,30.06,40.67,28.85,0.5293,0.4969,0.3856
128,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0128_ground_vehicle.png,-48.9,20.4,2.091,20.0,1.808,0.3139,73.67,5.041,4.85,0.7332,1.967,4.915,143.81,155.57,131.37,26.18,34.53,37.2,0.6647,0.539,0.4854
129,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0129_ground_vehicle.png,-49.56,24.1,0.895,10.0,1.173,0.2463,65.4,4.584,7.12,0.5551,2.163,5.224,117.83,134.73,149.59,31.65,37.38,35.72,0.6731,0.7215,0.3612
130,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0130_ground_vehicle.png,-60.46,16.59,2.1,10.0,1.146,0.2686,73.8,3.611,6.32,0.5968,1.957,4.93,130.19,137.54,130.06,34.36,39.3,23.74,0.4872,0.5635,0.3899
131,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0131_ground_vehicle.png,-48.69,25.45,0.886,10.0,0.979,0.2611,79.27,4.912,5.44,0.5441,2.338,5.095,99.85,138.55,143.5,35.03,39.58,36.69,0.5881,0.5136,0.4277
132,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0132_ground_vehicle.png,-52.93,21.21,1.793,20.0,1.006,0.2587,81.03,2.743,8.81,0.5675,1.571,5.867,129.44,142.92,138.61,40.92,37.5,28.76,0.6397,0.5206,0.4325
133,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0133_ground_vehicle.png,-44.23,23.87,0.892,20.0,1.14,0.1967,77.5,4.467,8.28,0.6109,1.85,4.845,152.9,142.97,132.32,33.73,34.41,35.44,0.5281,0.6638,0.4904
134,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0134_ground_vehicle.png,-56.12,17.72,0.898,20.0,0.901,0.2084,72.34,3.257,6.77,0.6662,1.292,5.056,129.19,124.92,137.03,27.93,29.5,36.26,0.7551,0.5447,0.3591
135,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0135_ground_vehicle.png,-58.23,24.83,2.098,10.0,1.614,0.3349,70.98,3.707,6.23,0.7017,1.779,5.841,144.77,145.78,134.42,36.97,26.36,30.61,0.6961,0.5466,0.3497
136,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0136_ground_vehicle.png,-54.31,27.48,1.796,10.0,1.614,0.2617,75.33,3.229,8.32,0.6448,1.857,5.805,135.89,153.17,130.46,36.97,35.59,32.48,0.6353,0.5031,0.3999
137,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0137_ground_vehicle.png,-55.3,21.87,2.094,20.0,0.984,0.2928,78.56,5.049,8.63,0.6672,1.726,5.093,143.87,146.24,149.54,47.4,47.34,39.47,0.6675,0.6445,0.5031
138,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0138_ground_vehicle.png,-54.88,18.98,0.899,10.0,0.726,0.2418,68.9,3.914,7.32,0.632,2.07,5.68,142.29,162.65,131.43,34.13,39.04,30.92,0.7867,0.6292,0.4575
139,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0139_ground_vehicle.png,-53.21,19.45,2.108,20.0,1.286,0.254,75.73,2.66,7.53,0.5256,2.003,5.05,110.44,141.57,131.04,39.41,43.78,41.56,0.6978,0.5695,0.3486
140,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0140_ground_vehicle.png,-52.79,21.82,1.786,10.0,0.777,0.2859,81.13,3.225,7.47,0.5664,1.836,5.232,138.03,138.61,132.58,42.89,40.93,36.35,0.579,0.4878,0.4678
141,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0141_ground_vehicle.png,-48.74,26.6,1.793,20.0,1.553,0.2735,69.6,3.144,5.67,0.5472,1.596,4.817,138.58,139.34,135.82,26.75,36.05,42.38,0.5865,0.6077,0.4608
142,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0142_ground_vehicle.png,-48.81,21.63,0.898,10.0,1.791,0.2231,83.61,4.546,6.59,0.6595,1.607,4.911,127.7,133.65,117.32,41.12,34.71,33.76,0.5687,0.4226,0.4335
143,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0143_ground_vehicle.png,-65.47,20.74,2.088,10.0,1.105,0.1838,67.31,3.834,6.57,0.7127,1.898,5.687,110.41,149.77,121.41,31.34,34.76,24.88,0.6599,0.5634,0.4333
144,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0144_ground_vehicle.png,-48.68,26.76,2.09,20.0,1.231,0.3207,78.35,2.546,7.14,0.6758,1.772,4.999,129.96,121.94,131.51,35.15,36.99,34.08,0.5482,0.5691,0.4422
145,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0145_ground_vehicle.png,-56.93,22.6,0.889,10.0,0.945,0.2536,79.72,3.906,7.55,0.5589,1.792,5.723,140.24,131.43,140.76,32.33,37.13,41.18,0.4912,0.5377,0.4404
146,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0146_ground_vehicle.png,-49.41,16.28,1.801,20.0,1.379,0.2536,77.02,3.861,5.35,0.6522,2.146,5.458,121.9,132.36,107.71,42.98,34.22,43.67,0.796,0.4868,0.3846
147,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0147_ground_vehicle.png,-51.2,14.33,1.796,20.0,0.985,0.2892,79.6,3.811,5.38,0.6047,1.794,5.68,152.15,157.57,123.26,44.95,37.75,40.13,0.5748,0.5291,0.4337
148,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0148_ground_vehicle.png,-53.09,25.77,1.796,10.0,1.094,0.2688,75.7,3.755,7.9,0.4434,1.882,4.564,144.12,138.87,135.04,30.68,42.4,37.21,0.6725,0.5409,0.449
149,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0149_ground_vehicle.png,-58.24,24.25,2.098,20.0,0.654,0.3066,67.66,3.228,5.87,0.4226,2.127,5.085,130.94,157.95,124.29,30.8,34.88,26.34,0.651,0.5238,0.3946
150,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0150_ground_vehicle.png,-57.56,20.6,2.098,10.0,1.19,0.2844,71.74,3.729,6.77,0.4588,2.179,5.214,140.32,151.42,117.75,37.37,34.66,36.23,0.4285,0.5431,0.3899
151,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0151_ground_vehicle.png,-51.41,22.79,0.889,20.0,0.857,0.1609,70.64,4.342,6.1,0.5792,1.705,4.524,126.89,148.08,101.56,36.26,30.07,35.04,0.6843,0.538,0.4115
152,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0152_ground_vehicle.png,-58.84,15.89,1.799,20.0,1.164,0.2742,71.71,3.043,7.35,0.4878,2.021,4.849,125.97,122.4,123.98,39.88,38.58,36.89,0.667,0.4727,0.4035
153,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0153_ground_vehicle.png,-58.68,26.06,1.799,10.0,1.014,0.3163,80.13,4.642,7.0,0.5604,1.448,4.74,156.2,117.97,120.59,40.72,37.05,36.64,0.6689,0.6529,0.4348
154,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0154_ground_vehicle.png,-50.02,18.25,1.803,10.0,2.199,0.334,76.48,4.747,5.74,0.6967,2.185,5.457,156.38,120.12,123.71,31.32,39.61,26.75,0.6882,0.6459,0.4548
155,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0155_ground_vehicle.png,-52.3,17.25,1.797,20.0,0.354,0.22,72.7,3.863,6.53,0.6103,1.935,5.735,133.86,154.33,141.05,46.47,35.36,29.9,0.7332,0.577,0.4841
156,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0156_ground_vehicle.png,-49.7,12.99,0.883,20.0,1.623,0.3329,77.86,4.499,6.35,0.6713,2.255,5.495,125.29,130.37,125.5,32.18,35.64,35.16,0.6461,0.5642,0.4079
157,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0157_ground_vehicle.png,-54.44,24.03,1.807,10.0,1.074,0.3329,77.97,3.067,8.02,0.6619,1.88,5.228,141.65,129.66,130.36,24.24,40.38,24.19,0.7553,0.5269,0.4094
158,Ground_Vehicle,1,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0158_ground_vehicle.png,-57.77,19.91,2.092,20.0,1.126,0.2463,79.58,3.146,5.33,0.6644,2.101,4.923,130.21,129.0,133.92,43.66,39.51,37.18,0.6938,0.55,0.4742
